what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.exporter,2.4.0.v200808251517,org.eclipse.emf.exporter,1228692290247
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200808251517,org.eclipse.emf.importer.ecore,1228692290247
stopped,bundle,org.eclipse.emf.importer.java,2.4.1.v200808251517,org.eclipse.emf.importer.java,1228692290247
stopped,bundle,org.eclipse.emf.importer.rose,2.4.0.v200808251517,org.eclipse.emf.importer.rose,1228692290247
stopped,bundle,org.eclipse.emf.importer,2.4.1.v200808251517,org.eclipse.emf.importer,1228692290247
stopped,bundle,org.eclipse.emf.converter,2.4.0.v200808251517,org.eclipse.emf.converter,1228692290247
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200808251517,org.eclipse.emf.codegen.ecore.ui,1228692290247
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200808251517,org.eclipse.emf.codegen.ui,1228692290247
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2ecore.editor,1228692290247
stopped,bundle,org.eclipse.emf.ecore.editor,2.4.0.v200808251517,org.eclipse.emf.ecore.editor,1228692290247
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2xml.ui,1228692290247
stopped,bundle,org.eclipse.emf.mapping.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ui,1228692290247
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.1.0.v20080605,org.eclipse.jst.jsf.facesconfig,1228692290247
stopped,bundle,org.eclipse.emf.edit.ui,2.4.1.v200808251517,org.eclipse.emf.edit.ui,1228692290247
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200808251517,org.eclipse.emf.common.ui,1228692290247
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.ui,1228692290247
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.0.v200809110140,org.eclipse.rse.subsystems.files.dstore,1228692290247
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.dstore,1228692290247
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.dstore,1228692290247
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.0.1.v200809181500,org.eclipse.rse.connectorservice.dstore,1228692290247
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.0.v20080604,org.eclipse.rse.subsystems.files.local,1228692290247
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.local,1228692290247
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.local,1228692290247
stopped,bundle,org.eclipse.rse.connectorservice.local,2.1.0.v20080604,org.eclipse.rse.connectorservice.local,1228692290247
stopped,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.0.v20080604,org.eclipse.rse.subsystems.files.ssh,1228692290247
